ticker,period_end,revenue,type,industry
PLD,2025-12-31,2252712000.0,historical,Real Estate
PLD,2025-09-30,2213881000.0,historical,Real Estate
PLD,2025-06-30,2183869000.0,historical,Real Estate
PLD,2025-03-31,2139665000.0,historical,Real Estate
PLD,2024-12-31,2200646000.0,historical,Real Estate
AMT,2025-09-30,2717400000.0,historical,Real Estate
AMT,2025-06-30,2626900000.0,historical,Real Estate
AMT,2025-03-31,2562800000.0,historical,Real Estate
AMT,2024-12-31,2547600000.0,historical,Real Estate
AMT,2024-09-30,2522300000.0,historical,Real Estate
EQR,2025-12-31,781911000.0,historical,Real Estate
EQR,2025-09-30,782411000.0,historical,Real Estate
EQR,2025-06-30,768827000.0,historical,Real Estate
EQR,2025-03-31,760810000.0,historical,Real Estate
EQR,2024-12-31,766779000.0,historical,Real Estate
SPG,2025-09-30,1601572000.0,historical,Real Estate
SPG,2025-06-30,1498459000.0,historical,Real Estate
SPG,2025-03-31,1473012000.0,historical,Real Estate
SPG,2024-12-31,1582232000.0,historical,Real Estate
SPG,2024-09-30,1480710000.0,historical,Real Estate
O,2025-09-30,1387631000.0,historical,Real Estate
O,2025-06-30,1339091000.0,historical,Real Estate
O,2025-03-31,1380505000.0,historical,Real Estate
O,2024-12-31,1340299000.0,historical,Real Estate
O,2024-09-30,1271887000.0,historical,Real Estate
WELL,2025-12-31,3134347000.0,historical,Real Estate
WELL,2025-09-30,2628061000.0,historical,Real Estate
WELL,2025-06-30,2516141000.0,historical,Real Estate
WELL,2025-03-31,2388587000.0,historical,Real Estate
WELL,2024-12-31,2219235000.0,historical,Real Estate
DLR,2025-12-31,1634671000.0,historical,Real Estate
DLR,2025-09-30,1577234000.0,historical,Real Estate
DLR,2025-06-30,1493150000.0,historical,Real Estate
DLR,2025-03-31,1407637000.0,historical,Real Estate
DLR,2024-12-31,1435862000.0,historical,Real Estate
AMT,2025-12-30,2768488850.74472,forecast,Real Estate
AMT,2026-03-30,2820538204.422544,forecast,Real Estate
AMT,2026-06-30,2873566119.1003695,forecast,Real Estate
AMT,2026-09-30,2927590992.3482547,forecast,Real Estate
AMT,2025-12-30,2742944425.3723598,forecast_bear,Real Estate
AMT,2026-03-30,2768728976.477996,forecast_bear,Real Estate
AMT,2026-06-30,2794755910.5752697,forecast_bear,Real Estate
AMT,2026-09-30,2821027506.141492,forecast_bear,Real Estate
AMT,2025-12-30,2794033276.1170797,forecast_bull,Real Estate
AMT,2026-03-30,2872827683.8336434,forecast_bull,Real Estate
AMT,2026-06-30,2953844169.1254716,forecast_bull,Real Estate
AMT,2026-09-30,3037145396.70309,forecast_bull,Real Estate
DLR,2026-03-31,1688533852.7356508,forecast,Real Estate
DLR,2026-06-30,1744171501.0753236,forecast,Real Estate
DLR,2026-09-30,1801642425.0154552,forecast,Real Estate
DLR,2026-12-31,1861007031.4842236,forecast,Real Estate
DLR,2026-03-31,1661602426.3678253,forecast_bear,Real Estate
DLR,2026-06-30,1688977551.636656,forecast_bear,Real Estate
DLR,2026-09-30,1716803685.8060467,forecast_bear,Real Estate
DLR,2026-12-31,1745088259.308786,forecast_bear,Real Estate
DLR,2026-03-31,1715465279.1034763,forecast_bull,Real Estate
DLR,2026-06-30,1800252848.3160024,forecast_bull,Real Estate
DLR,2026-09-30,1889231077.6255522,forecast_bull,Real Estate
DLR,2026-12-31,1982607092.112039,forecast_bull,Real Estate
EQR,2026-03-31,785740431.5223669,forecast,Real Estate
EQR,2026-06-30,789588617.7953185,forecast,Real Estate
EQR,2026-09-30,793455650.6707833,forecast,Real Estate
EQR,2026-12-31,797341622.4505365,forecast,Real Estate
EQR,2026-03-31,783825715.7611834,forecast_bear,Real Estate
EQR,2026-06-30,785745120.2100128,forecast_bear,Real Estate
EQR,2026-09-30,787669224.8279796,forecast_bear,Real Estate
EQR,2026-12-31,789598041.12469,forecast_bear,Real Estate
EQR,2026-03-31,787655147.2835504,forecast_bull,Real Estate
EQR,2026-06-30,793441492.7559165,forecast_bull,Real Estate
EQR,2026-09-30,799270346.4173563,forecast_bull,Real Estate
EQR,2026-12-31,805142020.5454804,forecast_bull,Real Estate
O,2025-12-30,1418176745.587924,forecast,Real Estate
O,2026-03-30,1449394890.8076825,forecast,Real Estate
O,2026-06-30,1481300237.1072738,forecast,Real Estate
O,2026-09-30,1513907911.7570982,forecast,Real Estate
O,2025-12-30,1402903872.793962,forecast_bear,Real Estate
O,2026-03-30,1418344845.4958827,forecast_bear,Real Estate
O,2026-06-30,1433955768.2867618,forecast_bear,Real Estate
O,2026-09-30,1449738511.711499,forecast_bear,Real Estate
O,2025-12-30,1433449618.381886,forecast_bull,Real Estate
O,2026-03-30,1480781135.9353995,forecast_bull,Real Estate
O,2026-06-30,1529675507.5475352,forecast_bull,Real Estate
O,2026-09-30,1580184337.5811956,forecast_bull,Real Estate
PLD,2026-03-31,2265919849.9070835,forecast,Real Estate
PLD,2026-06-30,2279205138.607572,forecast,Real Estate
PLD,2026-09-30,2292568320.131967,forecast,Real Estate
PLD,2026-12-31,2306009851.1727915,forecast,Real Estate
PLD,2026-03-31,2259315924.9535418,forecast_bear,Real Estate
PLD,2026-06-30,2265939209.605435,forecast_bear,Real Estate
PLD,2026-09-30,2272581910.709492,forecast_bear,Real Estate
PLD,2026-12-31,2279244085.1859016,forecast_bear,Real Estate
PLD,2026-03-31,2272523774.8606257,forecast_bull,Real Estate
PLD,2026-06-30,2292509787.0064116,forecast_bull,Real Estate
PLD,2026-09-30,2312671568.790302,forecast_bull,Real Estate
PLD,2026-12-31,2333010666.0417233,forecast_bull,Real Estate
SPG,2025-12-30,1633298570.7661548,forecast,Real Estate
SPG,2026-03-30,1665653633.5967188,forecast,Real Estate
SPG,2026-06-30,1698649638.6955903,forecast,Real Estate
